,mean_num_pages,mean_num_rating,mean_rating_count,amount,num_biography,num_children,num_comics,num_crime,num_fantasy,num_fiction,num_graphic,num_historical fiction,num_history,num_mystery,num_non-fiction,num_paranormal,num_poetry,num_romance,num_thriller,num_young-adult,rating_biography,rating_children,rating_comics,rating_crime,rating_fantasy,rating_fiction,rating_graphic,rating_historical fiction,rating_history,rating_mystery,rating_non-fiction,rating_paranormal,rating_poetry,rating_romance,rating_thriller,rating_young-adult,cluster
0,224.25806451612905,3.870967741935484,189938.67741935485,7,3.0,1.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,1.0,0.0,1.0,2.0,3.0,4.0,3.0,4.0,3.5,4.0,4.0,4.0,4.0,4.0,3.5,4.0,4.0,0.0,4.0,3.5,4.0,0
1,254.0,4.0,208394.0,10,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,4
2,283.0,4.0,98438.0,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,1
3,528.0,4.0,83866.0,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,3
4,503.0,4.0,1128913.0,5,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,4.0,3
5,228.0,4.0,195805.0,3,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0
6,316.0,5.0,255461.0,5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1
7,302.0,3.0,117633.0,2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,3.0,3.0,4
8,704.0,3.0,253839.0,3,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,3
9,416.0,4.0,406669.0,9,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,0.0,0.0,4.0,0.0,0
10,409.0,4.0,508863.0,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,4.0,3
11,814.0,3.0,266994.0,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,3
